bps=176020782; connections=1;
bps=173547149; connections=1;
bps=150985101; connections=1;
bps=166607507; connections=1;
bps=164153838; connections=1;
bps=147774280; connections=1;
bps=181819554; connections=1;
bps=187135366; connections=1;
bps=140214785; connections=1;
bps=163562808; connections=1;
bps=182806257; connections=1;
bps=180584346; connections=1;
bps=182214862; connections=1;
bps=156859704; connections=1;
bps=169684604; connections=1;
bps=143736252; connections=1;
bps=163539641; connections=1;
bps=176059758; connections=1;
bps=178167627; connections=1;
bps=160279284; connections=1;
bps=125780228; connections=1;
bps=177915275; connections=1;
bps=150728596; connections=1;
bps=151997952; connections=1;
bps=156565899; connections=1;
bps=158647647; connections=1;
bps=160441641; connections=1;
bps=164603372; connections=1;
bps=153236337; connections=1;
bps=142373249; connections=1;
bps=183055413; connections=1;
bps=163438309; connections=1;
bps=177276926; connections=1;
bps=174908645; connections=1;
