bps=119646469; connections=1;
bps=113190245; connections=1;
bps=114759933; connections=1;
bps=114686876; connections=1;
bps=120577373; connections=1;
bps=125048484; connections=1;
bps=125232244; connections=1;
bps=128677133; connections=1;
bps=127146633; connections=1;
bps=127440541; connections=1;
bps=126994630; connections=1;
bps=127994496; connections=1;
bps=130220947; connections=1;
bps=119234845; connections=1;
bps=127283337; connections=1;
bps=123178836; connections=1;
bps=122541744; connections=1;
bps=114726903; connections=1;
bps=133782813; connections=1;
bps=118112953; connections=1;
bps=103161017; connections=1;
bps=113683192; connections=1;
bps=118807820; connections=1;
bps=136122631; connections=1;
bps=138038066; connections=1;
bps=125036820; connections=1;
bps=123463957; connections=1;
bps=121286850; connections=1;
bps=117715783; connections=1;
bps=123205838; connections=1;
bps=131230805; connections=1;
bps=133376442; connections=1;
bps=128740842; connections=1;
bps=123845915; connections=1;
bps=121870998; connections=1;
bps=128639419; connections=1;
bps=132676236; connections=1;
bps=137198289; connections=1;
bps=123968001; connections=1;
bps=117165481; connections=1;
bps=123037638; connections=1;
bps=132303319; connections=1;
bps=135304834; connections=1;
bps=132435501; connections=1;
