bps=130387266; connections=1;
bps=145708870; connections=1;
bps=138145258; connections=1;
bps=138507948; connections=1;
bps=139478341; connections=1;
bps=141093698; connections=1;
bps=145569140; connections=1;
bps=142694448; connections=1;
bps=142622382; connections=1;
bps=133062347; connections=1;
bps=132532332; connections=1;
bps=132927748; connections=1;
bps=144634208; connections=1;
bps=134804751; connections=1;
bps=137941855; connections=1;
bps=146004005; connections=1;
bps=145783327; connections=1;
bps=131875268; connections=1;
bps=144977805; connections=1;
bps=141078573; connections=1;
bps=144569242; connections=1;
bps=145780412; connections=1;
bps=140186483; connections=1;
bps=137523735; connections=1;
bps=146455354; connections=1;
bps=146110202; connections=1;
bps=141056111; connections=1;
bps=147404925; connections=1;
bps=133400276; connections=1;
bps=125261234; connections=1;
bps=130636383; connections=1;
bps=132559607; connections=1;
bps=123734967; connections=1;
bps=127897738; connections=1;
bps=132059807; connections=1;
bps=126226934; connections=1;
bps=128286000; connections=1;
bps=132539091; connections=1;
bps=134035515; connections=1;
bps=139975317; connections=1;
bps=128588068; connections=1;
bps=128572885; connections=1;
bps=134393939; connections=1;
bps=140183680; connections=1;
bps=137128238; connections=1;
bps=126121421; connections=1;
bps=123804220; connections=1;
bps=134204842; connections=1;
bps=131794185; connections=1;
bps=132915235; connections=1;
bps=134291700; connections=1;
bps=134531194; connections=1;
bps=140637828; connections=1;
bps=125265993; connections=1;
bps=137465266; connections=1;
bps=125007652; connections=1;
bps=131057837; connections=1;
bps=138728527; connections=1;
bps=137768798; connections=1;
bps=139936648; connections=1;
bps=135969320; connections=1;
bps=137197466; connections=1;
bps=135586381; connections=1;
bps=133451924; connections=1;
bps=124293336; connections=1;
bps=127261060; connections=1;
bps=139438431; connections=1;
bps=139280026; connections=1;
bps=141891990; connections=1;
bps=136985808; connections=1;
bps=138869883; connections=1;
