bps=64431611; connections=1;
bps=61080721; connections=1;
bps=66095760; connections=1;
bps=63509292; connections=1;
bps=57008979; connections=1;
bps=64701236; connections=1;
bps=56876529; connections=1;
bps=63844176; connections=1;
bps=56080923; connections=1;
bps=64567472; connections=1;
bps=56794135; connections=1;
bps=62515659; connections=1;
bps=50571647; connections=1;
bps=61482584; connections=1;
bps=57141757; connections=1;
bps=54913374; connections=1;
bps=48637616; connections=1;
bps=61613447; connections=1;
bps=61937851; connections=1;
bps=64356199; connections=1;
bps=62482096; connections=1;
bps=58871640; connections=1;
bps=62751757; connections=1;
bps=49321811; connections=1;
bps=58668853; connections=1;
bps=64321835; connections=1;
bps=63628112; connections=1;
bps=65252280; connections=1;
bps=56561447; connections=1;
bps=59890083; connections=1;
bps=62766164; connections=1;
bps=58390156; connections=1;
bps=63563457; connections=1;
bps=54767782; connections=1;
bps=53815873; connections=1;
bps=47661110; connections=1;
bps=64186653; connections=1;
bps=51246693; connections=1;
bps=62486369; connections=1;
bps=64260899; connections=1;
bps=63961283; connections=1;
bps=65226699; connections=1;
bps=41273750; connections=1;
