bps=107648132; connections=1;
bps=100238670; connections=1;
bps=96865368; connections=1;
bps=102106369; connections=1;
bps=102663414; connections=1;
bps=99885236; connections=1;
bps=94358168; connections=1;
bps=89786596; connections=1;
bps=90945529; connections=1;
bps=97235026; connections=1;
bps=107935502; connections=1;
bps=101830768; connections=1;
bps=111322691; connections=1;
bps=108500926; connections=1;
bps=107846716; connections=1;
bps=107206489; connections=1;
bps=105514224; connections=1;
bps=105540874; connections=1;
bps=91152308; connections=1;
bps=93922602; connections=1;
bps=93876266; connections=1;
bps=101657219; connections=1;
bps=101359695; connections=1;
bps=100520925; connections=1;
bps=91127318; connections=1;
bps=84117540; connections=1;
bps=105259702; connections=1;
bps=102267670; connections=1;
bps=104253834; connections=1;
bps=105049623; connections=1;
bps=108882631; connections=1;
bps=100229235; connections=1;
bps=105165141; connections=1;
bps=110424309; connections=1;
bps=94969998; connections=1;
bps=92977980; connections=1;
