bps=51452166; connections=1;
bps=48362377; connections=1;
bps=44216083; connections=1;
bps=33541528; connections=1;
bps=49359803; connections=1;
bps=44116662; connections=1;
bps=49110856; connections=1;
bps=49171178; connections=1;
bps=49414428; connections=1;
bps=46067264; connections=1;
bps=49018439; connections=1;
bps=47636179; connections=1;
bps=43673699; connections=1;
bps=45513035; connections=1;
bps=49569952; connections=1;
bps=48238435; connections=1;
bps=50954092; connections=1;
bps=48621755; connections=1;
bps=49473680; connections=1;
bps=49396868; connections=1;
bps=50203988; connections=1;
bps=50278049; connections=1;
bps=40409665; connections=1;
bps=49513875; connections=1;
bps=45546967; connections=1;
bps=50091633; connections=1;
bps=41574310; connections=1;
bps=43472143; connections=1;
bps=42087091; connections=1;
bps=46213690; connections=1;
bps=46061599; connections=1;
bps=42270313; connections=1;
bps=43712289; connections=1;
bps=41955108; connections=1;
bps=44932493; connections=1;
bps=43154992; connections=1;
bps=45476406; connections=1;
bps=43839521; connections=1;
bps=42577376; connections=1;
bps=43740309; connections=1;
bps=44940617; connections=1;
bps=38735815; connections=1;
bps=42952385; connections=1;
bps=42933000; connections=1;
bps=43769283; connections=1;
bps=43948860; connections=1;
bps=43585536; connections=1;
bps=44651676; connections=1;
bps=43870584; connections=1;
bps=43953280; connections=1;
bps=42976339; connections=1;
bps=43357004; connections=1;
bps=44218912; connections=1;
bps=43720025; connections=1;
bps=43722558; connections=1;
bps=41413699; connections=1;
bps=43916778; connections=1;
bps=44358779; connections=1;
bps=44679085; connections=1;
bps=44531484; connections=1;
bps=43106121; connections=1;
bps=44859269; connections=1;
bps=42824677; connections=1;
bps=43988685; connections=1;
bps=43888528; connections=1;
bps=44712585; connections=1;
bps=43461539; connections=1;
bps=43716223; connections=1;
bps=41383831; connections=1;
bps=42592323; connections=1;
